"","X","Y","OBJECTID","waterCompanyName","siteNameEA","siteNameWASC","permitReferenceEA","permitReferenceWaSC","activityReference","assetType","treatmentType","outletDischargeNGRoriginal","outletDischargeNGRmappedRT","walesAssetNGR","wfdWaterbodyID","wfdWaterbodyName","recievingWaterName","shellfishWater","bathingWater","totalDurationAllSpillsHrs","countedSpills","longTermAverageSpillCount","investigationTrigger","investigationTriggerFlag","edmCommissionDate","edmCommissionYear","edmNumberofYearsOperational","noFullYearsEDMData","edmOperationPercent","edmOperationReason","edmOperationAction","highSpillOperationalReview","highSpillAction","highSpillEnhancement","riversTrustErrorFlag","riversTrustComments","Eastings","Northings","Latitude","Longitude","country","localAuthority","constituencyWestminster","cabaCatchment","eaWaterMgmtArea","eaPublicFaceArea","riverBasinDistrict","sourceDB"
"7913",248392.1252,54421.5318,7913,"South West Water","59 BRETONSIDE CSO","59 BRETONSIDE_CSO_PLYMOUTH","301752",301752,"A1","SO on sewer network","Not Applicable","SX4839054420","","","","","SUTTON HARBOUR VIA SWS (ESTU.)","","PLYMOUTH HOE (EAST)",202.55,58,66.8,40,TRUE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",100,"","","N/A - Ongoing investigation","N/A - Ongoing investigation","Other investigation - WINEP/Green Recovery",NA,NA,248390,54420,50.37009544,-4.133268402,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7915",250152.0999,54781.5556000005,7915,"South West Water","78 BEAUMONT ROAD CSO","78 BEAUMONT ROAD_CSO_PLYMOUTH","301782",301782,"A1","SO on sewer network","Not Applicable","SX5015054780","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","",5.48,23,20.2,40,FALSE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",100,"","","","","",NA,NA,250150,54780,50.373782,-4.108680954,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7920",242562.2299,59411.4290999994,7920,"South West Water","ADIT LANE CSO","ADIT LANE_CSO_SALTASH","302582",302582,"A1","SO on sewer network","Not Applicable","SX4256059410","","","","","TRIBUTARY OF SALTMILL CREEK(S)","Tamar","",29.21,55,33.57142857,40,TRUE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",87,"Power failure / issue","Scheduled","N/A - Ongoing investigation","N/A - Ongoing investigation","",NA,NA,242560,59410,50.41340567,-4.21727658,"England","Cornwall","South East Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7923",246222.1258,54411.4875000007,7923,"South West Water","ALLOTMENT CSO","ALLOTMENT OPP BICKHAM PK RD_CSO_PLYMOUTH","301781",NA,"A1","SO on sewer network","Not Applicable","SX4622054410","","","","","STONEHOUSE CREEK (E)","","",0,0,0,NA,FALSE,"Dec-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,246220,54410,50.36944202,-4.163755544,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7925",222416.4788,81301.9153000005,7925,"South West Water","ALTARNUN STW (STORM TANK)","ALTARNUN STW_SSO_ALTARNUN","SWWA 154",NA,"A3","Storm tank at WwTW","Not Applicable","SX2241481301","","","GB108047007700","Penpont Water","PENPONT WATER","","",2352.82,160,160,60,FALSE,"Commissioned in 2021 - full year data expected",2021,1,"1 (installed 2021)",100,"","","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other improvements - WINEP/Green Recovery",NA,NA,222414,81301,50.60433577,-4.510970753,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7927",239842.2404,54801.4755000006,7927,"South West Water","ANTONY STW (INLET TO WORKS) SSO","ANTONY S T SEPTNK_SO_ANTONY","NRA-SW-1004",NA,"A2","Inlet SO at WwTW","Not Applicable","SX3984054800","","","","","RIVER LYNHER ESTUARY","Lynher","",327.3,97,84.33333333,40,TRUE,"Commissioned in 2019 - full year data expected",2019,3,"3 (installed 2019)",90,"","","N/A - Ongoing investigation","N/A - Ongoing investigation","Other investigation - non-WINEP/Green Recovery",NA,NA,239840,54800,50.37124352,-4.253562779,"England","Cornwall","South East Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7931",250392.081,55331.5447000004,7931,"South West Water","ARNOLDS POINT PUMPING STATION","ARNOLDS POINT SPS_PSCSOEO_PLYMOUTH","301988",301988,"A1","Storm discharge at pumping station","Not Applicable","SX5039055330","","","","","RIVER PLYM VIA SWS (ESTUARINE)","","",23.33,5,12.16666667,40,TRUE,"Commissioned in 2016 - full year data expected",2016,6,"6 (installed 2016)",100,"","","","","",NA,NA,250390,55330,50.37878605,-4.105527176,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7951",248342.1221,53671.5209999997,7951,"South West Water","BARBICAN (SUTTON HARBOUR) TANKS","BARBICAN TANKS_CSOEO_PLYMOUTH","300821",300821,"A3","SO on sewer network","Not Applicable","SX4834053670","","","","","PLYMOUTH SOUND (E)","","PLYMOUTH HOE (EAST)",16.47,7,9.571428571,40,TRUE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",100,"","","","","",NA,NA,248340,53670,50.36334231,-4.133668556,"England","Plymouth","Plymouth, Sutton and Devonport","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7958",224812.5061,74691.0499000009,7958,"South West Water","BATHPOOL STW","BATHPOOL STW_SO_BATHPOOL","302121",NA,"A2","Inlet SO at WwTW","Not Applicable","SX2481074690","","","GB108047007680","Withey Brook","RIVER LYNER (S)","","",317.16,19,19,60,FALSE,"Commissioned in 2021 - full year data expected",2021,1,"1 (installed 2021)",100,"","","","","",NA,NA,224810,74690,50.54566396,-4.474029526,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7963",196143.0981,54721.1921999995,7963,"South West Water","BEACON SIDE PSCSO/EO","BEACONSIDE SPS_PSCSOEO_FOXHOLE","301616",NA,"A1","Storm discharge at pumping station","Not Applicable","SW9614054720","","","GB108048001350","Gwindra Stream","STREAM (S)","","",0,0,0,NA,FALSE,"Jul-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,196140,54720,50.35700267,-4.867309494,"England","Cornwall","St Austell and Newquay","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7964",235962.2714,77071.0529999994,7964,"South West Water","BEALS MILL NO 1 CSO","BEALS MILL NO 1_CSO_TREBURLEY","301889",301889,"A1","SO on sewer network","Not Applicable","SX3596077070","","","GB108047007890","Lower River Inny","RIVER INNY","","",998.19,116,127.75,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",100,"","","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other investigation - WINEP/Green Recovery",NA,NA,235960,77070,50.57028592,-4.317846901,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7965",235962.2714,77071.0529999994,7965,"South West Water","BEALS MILL NO 2 CSO","BEALS MILL NO 2_CSO_TREBURLEY","301890",301890,"A1","SO on sewer network","Not Applicable","SX3596077070","","","GB108047007890","Lower River Inny","RIVER INNY","","",3937.87,293,346,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",98,"","","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other improvements - non-WINEP/Green Recovery",NA,NA,235960,77070,50.57028592,-4.317846901,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7966",235892.2724,77031.0538999997,7966,"South West Water","BEALS MILL PUMPING STATION","BEALS MILL SPS_PSCSOEO_BEALS MILL","301644",301644,"A1","Storm discharge at pumping station","Not Applicable","SX3589077030","","","GB108047007890","Lower River Inny","A TRIBUTARY OF RIVER INNY","","",1759.32,84,123.5,50,TRUE,"Commissioned in 2020 - full year data expected",2020,2,"2 (installed 2020)",100,"","","Performance - Infiltration","Scheduled","Other improvements - non-WINEP/Green Recovery",NA,NA,235890,77030,50.56990683,-4.318816889,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7967",235962.2714,77071.0529999994,7967,"South West Water","BEALS MILL WWTW","BEALS MILL STW_SO_REZARE","SWWA 880",NA,"A2","Inlet SO at WwTW","Not Applicable","SX3596077070","","","GB108047007890","Lower River Inny","RIVER INNY","","",77.04,38,15,40,FALSE,"Commissioned in 2019 - full year data expected",2019,3,"3 (installed 2019)",100,"","","","","",NA,NA,235960,77070,50.57028592,-4.317846901,"England","Cornwall","North Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7980",250622.1006,53871.5752000008,7980,"South West Water","BILLACOMBE PUMPING STATION","BILLACOMBE_PSCSOEO_PLYMOUTH","032897/PC/01",32897,"A1","Storm discharge at pumping station","Not Applicable","SX5062053870","","","","","POMPHLETT CREEK (ESTUARINE)","","PLYMOUTH HOE (EAST)",27.82,20,37.85714286,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",100,"","","","","",NA,NA,250620,53870,50.3657233,-4.101714629,"England","Plymouth","South West Devon","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7990",174003.4239,46510.9697999991,7990,"South West Water","BLACKWATER STW","BLACKWATER STW_SO_BLACKWATER","NRA-SW-7828",NA,"A2","Inlet SO at WwTW","Not Applicable","SW7400046510","","","GB108048001160","Upper Carnon River","(S) RIVER CARNON","Fal Estuary","",10.84,35,31,50,FALSE,"Commissioned in 2020 - full year data expected",2020,2,"2 (installed 2020)",100,"","","","","",NA,NA,174000,46510,50.27519607,-5.173164161,"England","Cornwall","Camborne and Redruth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7991",205572.8854,65701.0524000004,7991,"South West Water","BLOWING HOUSE LANE CSO","BLOWING HSE LN_CSO_BODMIN","301825",301825,"A1","SO on sewer network","Not Applicable","SX0557065700","","","GB108049000040","St Lawrence Stream","ST LAWRENCE STREAM","Camel","",10.27,14,67,40,FALSE,"Commissioned in 2019 - full year data expected",2019,3,"3 (installed 2019)",59,"Sensor failure / issue","Resolved - Sep","N/A - Ongoing investigation","N/A - Ongoing investigation","Other investigation - WINEP/Green Recovery",NA,NA,205570,65700,50.45882633,-4.740590754,"England","Cornwall","North Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7992",234442.381,62921.3142000008,7992,"South West Water","BLUNTS STW","BLUNTS S T STW_SO_TIDEFORD","303338",303338,"A2","Inlet SO at WwTW","Not Applicable","SX3444062920","","","GB108047007670","Lower River Lynher","BLUNTS STREAM (S)(LYHNER TRIB)","","",3.23,9,9,60,TRUE,"Commissioned in 2021 - full year data expected",2021,1,"1 (installed 2021)",100,"","","","","",NA,NA,234440,62920,50.4427118,-4.333015238,"England","Cornwall","South East Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7993",184573.4041,42831.1646999996,7993,"South West Water","BOAT YARD PS CSO/EO","BOAT YARD SPS_PSCSOEO_MALPAS","302829",302829,"A1","Storm discharge at pumping station","Not Applicable","SW8457042830","","","","","TRESILLIAN RIVER ESTUARY","Fal Estuary","",0.59,2,0.285714286,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",100,"","","","","",NA,NA,184570,42830,50.2460997,-5.022948977,"England","Cornwall","Truro and Falmouth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7994",212912.9241,52171.4498999994,7994,"South West Water","BODINNICK COMBINED SEWER OVERFLOW","BODINNICK_CSO_FOWEY","303432",303432,"A1","SO on sewer network","Not Applicable","SX1291052170","","","","","RIVER FOWEY ESTUARY","Fowey","",118.85,6,12.4,40,TRUE,"Commissioned in 2017 - full year data expected",2017,5,"5 (installed 2017)",22,"Sensor failure / issue","Resolved - Apr","","","",NA,NA,212910,52170,50.33966584,-4.630558291,"England","Cornwall","South East Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7995",207336.8834,64401.0861000009,7995,"South West Water","BODMIN GOLF COURSE PSCSO/EO","BODMIN GOLF CLUB SPS_PSCSOEO_BODMIN","302093",NA,"A1","Storm discharge at pumping station","Not Applicable","SX0733464400","","","GB108049000040","St Lawrence Stream","TRIB RIVER CAMEL (S)","","",0.99,1,1,60,FALSE,"Commissioned in 2021 - full year data expected",2021,1,"1 (installed 2021)",100,"","","","","",NA,NA,207334,64400,50.44773081,-4.715099385,"England","Cornwall","North Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7996",139053.9239,34660.6993000004,7996,"South West Water","BOJEWYAN PSCSO/EO","BOJEWYAN SPS_PSCSOEO_ST JUST","301603",NA,"A1","Storm discharge at pumping station","Not Applicable","SW3905034660","","","","","STREAM (S)","","",0,0,0,NA,FALSE,"Sep-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,139050,34660,50.15442858,-5.654537248,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7997",146373.9406,31470.8906999994,7997,"South West Water","BOLITHO ROAD CSO","BOLITHO RD_CSO_PENZANCE","NRA-SW-6340",NA,"A1","SO on sewer network","Not Applicable","SW4637031470","","","","","SURFACE WATER DRAIN TO CHYANDR","","LONG ROCK",204.09,88,89.85714286,40,TRUE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",91,"","","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other improvements - non-WINEP/Green Recovery",NA,NA,146370,31470,50.12897127,-5.55014927,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"7999",225432.5902,53671.4770999998,7999,"South West Water","HEALTH CENTRE CAR PARK PSEO/CSO","BONE MILL SPS_PSCSOEO_LOOE","300975",NA,"A1","Storm discharge at pumping station","Not Applicable","SX2543053670","","","","","LOOE RIVER (HARBOUR) (E)","","EAST LOOE BEACH",448.43,103,112,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",86,"Sensor failure / issue","Resolved - Sep","Not asset maintenance - Hydraulic capacity","N/A - Hydraulic capacity","Other improvements - non-WINEP/Green Recovery",NA,NA,225430,53670,50.35698925,-4.455485843,"England","Cornwall","South East Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8003",209402.5531,91620.6616999991,8003,"South West Water","BOSCASTLE HARBOUR PUMPING STATION","BOSCASTLE SPS_PSCSOEO_BOSCASTLE","303079",303079,"A1","Storm discharge at pumping station","Not Applicable","SX0940091620","","","","","ATLANTIC OCEAN(C)","","",0,0,0,NA,FALSE,"Oct-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,209400,91620,50.69292199,-4.699984056,"England","Cornwall","North Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8004",137163.9347,34910.6754999999,8004,"South West Water","GEEVOR MINE PUMPING STATION","BOSCASWELL_PSCSOEO_PENZANCE","303095",303095,"A1","Storm discharge at pumping station","Not Applicable","SW3716034910","","","","","ATLANTIC OCEAN COASTAL","","",66.51,15,18.5,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",88,"Comms failure / issue","Resolved - Mar","","","",NA,NA,137160,34910,50.15583743,-5.681111288,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8005",135504.022,31000.7028999999,8005,"South West Water","BOSORNE ROAD SEWER OVERFLOW","BOSORNE RD 1_CSOEO_ST JUST","303091",303091,"A1","SO on sewer network","Not Applicable","SW3550031000","","","","","ATLANTIC / PORTH NANVEN STREAM","","",1.53,4,12.5,50,FALSE,"Commissioned in 2020 - full year data expected",2020,2,"2 (installed 2020)",87,"Comms failure / issue","Resolved - Jul","","","",NA,NA,135500,31000,50.12000776,-5.701587527,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8006",136474.0109,31230.7114000004,8006,"South West Water","BOSORNE ROAD SEWER OVERFLOW","BOSORNE RD 2_CSOEO_ST JUST","303091",303091,"A1","SO on sewer network","Not Applicable","SW3647031230","","","","","ATLANTIC / PORTH NANVEN STREAM","","",4.52,3,3,NA,FALSE,"Dec-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,136470,31230,50.12250344,-5.688206316,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8007",206002.6275,89320.682,8007,"South West Water","BOSSINEY BACK LANE PUMPING STATION","BOSSINEY BACK LANE_PSCSOEO_TINTAGEL","NPSWQD008115",NA,"A1","Storm discharge at pumping station","Not Applicable","SX0600089320","","","","","ATLANTIC OCEAN","","",100.92,22,22,NA,FALSE,"Sep-22",2022,0,"<1 yr (installed 2022)",100,"","","","","",NA,NA,206000,89320,50.67113807,-4.74685727,"England","Cornwall","North Cornwall","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8008",181613.4028,45251.0888999999,8008,"South West Water","BOSVIGO LANE CSO","BOSVIGO LN_CSO_TRURO","302673",302673,"A1","SO on sewer network","Not Applicable","SW8161045250","","","GB108048002340","Kenwyn","FRESHWATER(S)","Fal Estuary","",0,0,0.714285714,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",93,"","","","","",NA,NA,181610,45250,50.26674578,-5.065798847,"England","Cornwall","Truro and Falmouth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8009",136153.975,33120.6851000004,8009,"South West Water","BOTALLACK PUMPING STATION","BOTALLACK_PSCSOEO_TREGESEAL","303093",303093,"A1","Storm discharge at pumping station","Not Applicable","SW3615033120","","","","","ATLANTIC OCEAN (C)","","",22.72,23,26.5,40,FALSE,"Commissioned in 2018 - full year data expected",2018,4,"4 (installed 2018)",100,"","","","","",NA,NA,136150,33120,50.13932381,-5.693980787,"England","Cornwall","St Ives","","","","","EA"
"8020",162823.7841,25611.0869999994,8020,"South West Water","BREAGESIDE PUMPING STATION (PORTHLE","BREAGESIDE SPS_PSCSOEO_PORTHLEVEN","300392/PC/01",NA,"A1","Storm discharge at pumping station","Not Applicable","SW6282025610","","","","","MOUNTS BAY, ENGLISH CHANNEL","","PORTHLEVEN SANDS",0,0,1.285714286,40,FALSE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",72,"Sensor failure / issue","Scheduled","","","",NA,NA,162820,25610,50.08316174,-5.316763719,"England","Cornwall","St Ives","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8027",166103.5,46140.8773999996,8027,"South West Water","BRIDGE PS / CSO / EO","BRIDGE SPST_PSCSOEO_PORTREATH","300702",NA,"A1","Storm discharge at pumping station","Not Applicable","SW6610046140","","","","","ATLANTIC OCEAN (C)","","PORTREATH BEACH",1422.46,80,112,40,TRUE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",100,"","","Performance - Infiltration","Scheduled","Other improvements - non-WINEP/Green Recovery",NA,NA,166100,46140,50.26879636,-5.283618517,"England","Cornwall","Camborne and Redruth","Cornwall","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
"8046",243382.2081,58751.4498999994,8046,"South West Water","BRUNEL BRIDGE CSO","BRUNEL BRIDGE_CSO_SALTASH","302583",302583,"A1","SO on sewer network","Not Applicable","SX4338058750","","","","","RIVER TAMAR (E)","Tamar","",1.41,8,13,40,TRUE,"Commissioned pre-2016 - full year data expected",2016,6,"7 (installed 2015)",100,"","","","","",NA,NA,243380,58750,50.40769392,-4.205468929,"England","Cornwall","South East Cornwall","Tamar","Devon and Cornwall","Devon Cornwall and the Isles of Scilly","South West","EA"
